,The Shawshank Redemption,The Godfather,The Godfather Part II,Schindler's List,12 Angry Men,Spirited Away,The Dark Knight,Dilwale Dulhania Le Jayenge,The Green Mile,Parasite,Pulp Fiction,Your Name.,The Lord of the Rings: The Return of the King,Forrest Gump,"The Good, the Bad and the Ugly",Seven Samurai,GoodFellas,Interstellar,Grave of the Fireflies,Life Is Beautiful,Fight Club,Cinema Paradiso,City of God,Psycho,The Lord of the Rings: The Fellowship of the Ring,A Dog's Will,Harakiri,Impossible Things,One Flew Over the Cuckoo's Nest,Gabriel's Inferno,Once Upon a Time in America,The Lord of the Rings: The Two Towers,Spider-Man: Into the Spider-Verse,Howl's Moving Castle,Hope,The Empire Strikes Back,A Silent Voice: The Movie,Counterattack,Gabriel's Inferno: Part II,Primal: Tales of Savagery,The Pianist,Gabriel's Inferno: Part III,Radical,Whiplash,Se7en,Inception,Rear Window,Lucy Shimmers and the Prince of Peace,The Legend of Hei,The Silence of the Lambs
User_1,0,0,0,0,0,0,0,0,0,1,1,0,4,0,3,4,2,3,2,0,0,2,0,2,4,0,4,0,0,0,0,4,4,3,0,0,0,4,2,4,2,0,0,0,0,4,0,2,4,0
User_2,0,4,4,5,4,1,4,5,4,4,0,5,0,4,2,4,4,4,5,4,5,0,4,1,0,5,4,0,5,5,5,3,2,0,5,0,0,2,5,5,5,4,5,4,0,0,1,0,0,5
User_3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,5,2,3,0,1,0,3,4,1,0,2,0,3,0,0,0,4,0,4,1,4,0,0,0,3,0,0,1,0,1,1,0,0
User_4,0,0,0,3,3,0,0,5,0,0,3,0,3,0,1,3,0,3,0,0,0,5,2,0,2,0,0,0,0,5,0,0,2,3,1,0,5,0,0,1,0,0,0,0,1,0,1,1,0,0
User_5,3,1,0,2,1,1,0,5,2,5,0,1,0,0,0,2,0,0,0,4,3,0,0,2,1,5,0,0,3,0,0,0,1,0,0,0,0,2,3,0,1,1,0,1,0,0,0,1,0,1
User_6,0,0,0,0,1,0,0,0,0,2,0,5,0,5,0,2,0,0,0,1,1,4,0,0,0,1,0,2,0,4,0,1,3,0,0,0,4,1,4,0,0,4,1,2,0,0,2,1,3,0
User_7,2,0,2,0,0,3,0,0,3,0,0,0,0,0,0,5,0,3,0,2,0,0,0,3,4,0,0,0,0,0,2,4,4,3,0,0,1,0,2,5,0,0,0,2,0,4,0,0,4,0
User_8,0,0,2,3,0,0,4,0,0,5,5,1,1,0,0,1,0,3,3,1,0,0,3,5,0,1,0,2,3,0,0,0,0,0,1,3,0,4,0,0,3,0,0,0,0,0,5,1,2,4
User_9,4,4,4,5,5,1,4,0,5,4,3,4,3,5,0,4,4,0,4,5,0,4,4,2,1,5,5,5,4,5,4,0,3,0,0,1,5,0,4,0,5,4,5,0,0,0,2,4,2,5
User_10,0,0,0,1,1,0,5,0,0,5,0,2,2,0,0,1,0,1,0,3,2,0,0,4,0,0,0,2,0,0,2,1,1,1,0,3,0,0,0,0,0,3,0,1,5,3,4,0,1,4
User_11,0,1,2,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,2,0,2,0,0,0,3,2,0,1,0,3,1,0,0,0,0,0,0,0,3,0,0,1,2,1
User_12,0,3,0,0,1,0,0,5,0,0,0,0,3,5,2,0,3,1,0,5,3,0,0,1,0,0,0,0,1,3,0,3,0,3,1,2,0,0,3,0,0,2,0,0,0,0,3,0,0,3
User_13,0,4,4,4,5,3,4,4,5,4,0,5,0,4,0,4,5,5,5,0,4,5,5,1,0,0,0,4,5,4,4,0,0,0,0,0,5,2,4,5,4,4,4,4,1,1,1,4,0,0
User_14,0,0,1,0,0,0,0,0,0,0,4,1,1,0,0,0,2,1,0,0,0,0,0,5,0,0,0,0,0,0,2,2,0,2,2,2,2,4,3,2,0,0,2,0,5,0,0,0,0,4
User_15,0,1,0,2,0,0,0,0,3,0,0,3,4,0,0,0,1,4,1,0,1,0,0,0,4,2,1,0,0,0,0,0,0,5,1,0,0,5,1,5,1,3,0,0,0,4,0,1,1,0
User_16,1,1,3,0,1,0,0,2,0,3,0,0,0,0,3,0,0,5,0,1,0,0,2,0,5,1,3,0,3,0,1,4,5,4,0,4,0,4,0,4,0,0,1,0,1,0,3,3,0,0
User_17,0,0,0,2,0,0,0,3,3,5,5,0,3,3,0,2,1,0,0,0,0,0,0,5,2,1,2,3,0,0,1,0,0,0,0,2,2,5,0,2,0,0,0,0,4,0,4,0,2,4
User_18,3,0,0,0,0,2,5,3,2,3,0,0,5,0,0,0,3,0,0,0,3,0,0,3,4,2,5,0,0,0,2,4,4,0,0,5,0,4,3,5,0,0,0,3,1,4,3,0,4,1
User_19,1,0,1,1,0,0,4,3,0,0,2,0,4,0,2,5,0,0,1,0,2,0,1,0,4,0,4,3,0,1,3,0,4,2,0,5,1,5,2,5,1,3,3,0,0,4,0,3,0,0
User_20,0,1,0,0,2,0,0,4,0,0,1,0,0,4,0,3,1,0,0,3,3,4,3,2,0,0,1,0,0,4,2,0,0,0,0,3,4,0,4,0,3,5,0,0,0,1,0,1,0,0
